type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-14 00:00:00,SELL,2.5023,3025368709.556189,378519006.0961226,151407.60243844904,1059701809.4667068,2.5723644,2.2921068,,,
exit,2025-03-14 00:45:00,,2.524,3025368709.556189,,152720.6124583964,1372417593.9530015,,,-65803221.609827854,-17.38439036086804,signal_reversal
entry,2025-03-14 00:45:00,BUY,2.524,3883907612.5000005,490149140.69750005,196059.65627900002,1372221534.2967224,2.453328,2.7360160000000002,,,
exit,2025-03-14 06:15:00,,2.5023,3883907612.5000005,,194374.04037517504,1777895505.762597,,,-84475169.2316254,-17.234584786053926,signal_reversal
entry,2025-03-14 06:15:00,SELL,2.5023,5075032415.213985,634962680.6294978,253985.0722517991,1777641520.6903453,2.5723644,2.2921068,,,
exit,2025-03-14 08:45:00,,2.524,5075032415.213985,,256187.636320002,2302219810.2733793,,,-110384391.04646374,-17.384390360868043,signal_reversal
entry,2025-03-14 08:45:00,BUY,2.524,6515224729.096042,822221360.8119204,328888.5443247682,2301890921.7290545,2.453328,2.7360160000000002,,,
exit,2025-03-14 12:00:00,,2.5022,6515224729.096042,,326047.9063428824,2981754335.5403395,,,-142357947.00063542,-17.313822503961823,signal_reversal
entry,2025-03-14 12:00:00,SELL,2.5022,8511807710.758326,1064912262.6929743,425964.90507718973,2981328370.6352625,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-14 12:30:00,,2.524,8511807710.758326,,429676.05323908024,3860253549.1804676,,,-185987084.14776903,-17.4650147869873,signal_reversal
entry,2025-03-14 12:30:00,BUY,2.524,10924421409.27231,1378661981.8501656,551464.7927400663,3859702084.3877277,2.453328,2.7360160000000002,,,
exit,2025-03-14 12:45:00,,2.5022,10924421409.27231,,546701.7450056236,4999664977.770754,,,-238699088.46714002,-17.31382250396182,signal_reversal
entry,2025-03-14 12:45:00,SELL,2.5022,14272197545.50491,1785594634.9181194,714237.8539672478,4998950739.916786,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-14 14:00:00,,2.524,14272197545.50491,,720460.5320970879,6472691007.810804,,,-311854367.02410156,-17.465014786987307,signal_reversal
entry,2025-03-14 14:00:00,BUY,2.524,18317554357.626213,2311675359.932428,924670.1439729712,6471766337.666831,2.453328,2.7360160000000002,,,
exit,2025-03-14 15:15:00,,2.5023,18317554357.626213,,916720.3253817616,8385034047.7133875,,,-398407649.8858715,-17.234584786053926,signal_reversal
entry,2025-03-14 15:15:00,SELL,2.5023,23935219734.16848,2994655017.040489,1197862.0068161958,8383836185.706572,2.5723644,2.2921068,,,
exit,2025-03-14 16:15:00,,2.524,23935219734.16848,,1208249.892180825,10857888684.623423,,,-520602518.1236381,-17.384390360868043,signal_reversal
entry,2025-03-14 16:15:00,BUY,2.524,30727554575.003998,3877817387.3655043,1551126.9549462018,10856337557.668476,2.453328,2.7360160000000002,,,
exit,2025-03-14 18:15:00,,2.5024,30727554575.003998,,1537852.6513698003,14068901913.562529,,,-665253031.4714513,-17.155347068145677,signal_reversal
entry,2025-03-14 18:15:00,SELL,2.5024,40158310631.97197,5024607826.272333,2009843.1305089334,14066892070.43202,2.5724672,2.2921984,,,
exit,2025-03-14 22:30:00,,2.524,40158310631.97197,,2027191.5207019453,18222053195.533062,,,-869446701.1712902,-17.303772378516495,signal_reversal
entry,2025-03-14 22:30:00,BUY,2.524,51567956745.33916,6507876141.261802,2603150.4565047207,18219450045.076557,2.453328,2.7360160000000002,,,
exit,2025-03-15 00:30:00,,2.5023,51567956745.33916,,2580769.9632772435,23605720755.00122,,,-1121605431.3371398,-17.234584786053926,signal_reversal
entry,2025-03-15 00:30:00,SELL,2.5023,67382924152.64007,8430614555.357562,3372245.8221430248,23602348509.179077,2.5723644,2.2921068,,,
exit,2025-03-15 00:45:00,,2.523,67382924152.64007,,3400142.3527422184,30634736392.224236,,,-1398226672.3124025,-16.585109699076977,signal_reversal
entry,2025-03-15 00:45:00,BUY,2.523,86729903154.47644,10940977282.937204,4376390.913174882,30630360001.31106,2.452356,2.734932,,,
exit,2025-03-15 02:15:00,,2.5023,86729903154.47644,,4340484.733268928,39771687804.21732,,,-1799649480.0309453,-16.44870868014281,signal_reversal
